Document,Service,Category
NT-AI-Engine/TEAM3_DEPENDENCY_FAILURES_SUMMARY.md,email_monitor,general
NT-AI-Engine/archive\deployment-docs\NT_AI_ENGINE_ARCHITECTURE_STATUS.md,email_monitor,architecture
NT-AI-Engine/archive\deployment-docs\MASTER_FINDINGS_AND_DEPLOYMENT_PLAN.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\KNOWLEDGE-GRAPH-SUMMARY.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\KNOWLEDGE-GRAPH-INDEX.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\AUDIT-PROMPT.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\ARCHITECTURE-DIAGRAM.md,email_monitor,architecture
NT-AI-Engine/docs\archive\superseded\TRINITY_AUTOMATION_MASTER_PLAN.md,email_monitor,general
NT-AI-Engine/docs\testing\TESTING_GUIDE.md,email_monitor,guide
NT-AI-Engine/docs\current\ULTIMATE_GITHUB_STRATEGY.md,email_monitor,general
NT-AI-Engine/docs\current\TRINITY_INTELLIGENCE_PLATFORM_PROPOSAL.md,email_monitor,general
NT-AI-Engine/docs\current\COMPREHENSIVE_STRATEGIC_REVIEW.md,email_monitor,general
NT-AI-Engine/tests\integration\TRINITY_INTEGRATION_SUMMARY.md,email_monitor,general
NT-AI-Engine/tests\integration\RUN_TESTS.md,email_monitor,general
NT-AI-Engine/tests\integration\README_TRINITY_INTEGRATION.md,email_monitor,general
NT-AI-Engine/trinity\sops\operational\ops-user-onboarding-sop.md,email_monitor,sop
NT-AI-Engine/tests\TEST_SUITE_SUMMARY.md,email_monitor,general
NT-AI-Engine/logs\MONITOR_SESSION_SUMMARY.md,email_monitor,general
NT-AI-Engine/docs\TEST_COVERAGE_AUDIT_REPORT.md,email_monitor,general
NT-AI-Engine/docs\SCALABILITY_AUDIT_REPORT.md,email_monitor,general
NT-AI-Engine/docs\PROJECT_INDEX.md,email_monitor,general
NT-AI-Engine/docs\performance_audit_report.md,email_monitor,general
NT-AI-Engine/docs\LOGGING_AUDIT_REPORT.md,email_monitor,general
NT-AI-Engine/docs\FLOW_DEPENDENCY_CHAIN_MAP.md,email_monitor,general
NT-AI-Engine/docs\END_TO_END_TEST_AUDIT.md,email_monitor,general
NT-AI-Engine/docs\DOCUMENTATION_CORRECTIONS.md,email_monitor,general
NT-AI-Engine/docs\COMPLETE_PLATFORM_READY.md,email_monitor,general
NT-AI-Engine/docs\COMPLETE_FILE_AUDIT.md,email_monitor,general
NT-AI-Engine/docs\CIRCLEBACK_ENHANCED_STRATEGY.md,email_monitor,general
NT-AI-Engine/docs\CHECKPOINT_V3.0_PRODUCTION.md,email_monitor,general
NT-AI-Engine/docs\CEO_DEPLOYMENT_GUIDE.md,email_monitor,deployment
NT-AI-Engine/docs\ARCHITECTURE_EXECUTIVE_SUMMARY.md,email_monitor,architecture
NT-AI-Engine/docs\ARCHITECTURE_DEPENDENCY_MAP.md,email_monitor,architecture
NT-AI-Engine/docs\architecture_audit_report.md,email_monitor,architecture
NT-AI-Engine/docs\ARCHITECTURE_ANALYSIS_MCP_INTEGRATION.md,email_monitor,architecture
NT-AI-Engine/claudedocs\USER_INTERACTION_POINTS_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\TRINITY_OMEGA_INTEGRATION_STRATEGY.md,email_monitor,general
NT-AI-Engine/claudedocs\TEST_COVERAGE_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\SYSTEM_ARCHITECTURE_KNOWLEDGE_GRAPH.md,email_monitor,architecture
NT-AI-Engine/claudedocs\SERVICE_DEPENDENCY_MAP.md,email_monitor,general
NT-AI-Engine/claudedocs\PERFORMANCE_ARCHITECTURE_ASSESSMENT.md,email_monitor,architecture
NT-AI-Engine/claudedocs\NT_AI_ENGINE_USER_ONBOARDING_SOP.md,email_monitor,sop
NT-AI-Engine/claudedocs\NT_AI_ENGINE_COMPLETE_PROCESS_FLOW_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\MCP_TOOLS_ACTUAL_USAGE_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\MCP_PERFORMANCE_ORACLE_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\MCP_INTEGRATION_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\MASTER_INDEX.md,email_monitor,general
NT-AI-Engine/claudedocs\END_TO_END_WORKFLOW_VALIDATION_REPORT.md,email_monitor,general
NT-AI-Engine/claudedocs\EMAIL_PIPELINE_MCP_OPTIMIZATION_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\EMAIL_FILTER_README.md,email_monitor,general
NT-AI-Engine/claudedocs\EMAIL_FILTER_QUICK_REFERENCE.md,email_monitor,api_reference
NT-AI-Engine/claudedocs\email_filter_integration_guide.md,email_monitor,guide
NT-AI-Engine/claudedocs\EMAIL_FILTER_DELIVERY.md,email_monitor,general
NT-AI-Engine/claudedocs\EMAIL_COLLECTION_MYSTERY_SOLVED.md,email_monitor,general
NT-AI-Engine/claudedocs\DATA_FLOW_UPSTREAM_TRACING.md,email_monitor,general
NT-AI-Engine/claudedocs\CRITICAL_FIX_DEPLOYED.md,email_monitor,general
NT-AI-Engine/claudedocs\CONTRARIAN_FAILURE_MODE_ANALYSIS.md,email_monitor,general
NT-AI-Engine/claudedocs\COMPREHENSIVE_ARCHITECTURE_ANALYSIS.md,email_monitor,architecture
NT-AI-Engine/claudedocs\ARCHITECTURE_QUICK_REFERENCE.md,email_monitor,architecture
NT-AI-Engine/claudedocs\ARCHITECTURE_EXECUTIVE_SUMMARY.md,email_monitor,architecture
NT-AI-Engine/claudedocs\APPLICATION_INSIGHTS_SETUP.md,email_monitor,general
NT-AI-Engine/claudedocs\AGENT_3_VOLUME_ANALYSIS.md,email_monitor,general
NT-AI-Engine/ULTIMATE_GITHUB_STRATEGY.md,email_monitor,general
NT-AI-Engine/TRINITY_VS_NT_AI_ENGINE_COMPARISON.md,email_monitor,general
NT-AI-Engine/TRINITY_REPO_ANALYSIS_PROMPT.md,email_monitor,general
NT-AI-Engine/TRINITY_REPO_ANALYSIS_EXEC_SUMMARY.md,email_monitor,general
NT-AI-Engine/TRINITY_REPO_ANALYSIS_EVALUATION.md,email_monitor,general
NT-AI-Engine/TRINITY_QUALITY_VALIDATION_REPORT.md,email_monitor,general
NT-AI-Engine/TRINITY_PLATFORM_QUICK_START.md,email_monitor,general
NT-AI-Engine/TRINITY_OMEGA_METICULOUS_ANALYSIS_SYNTHESIS.md,email_monitor,general
NT-AI-Engine/TRINITY_KNOWLEDGE_GRAPH_COMPLETE_PRESENTATION.md,email_monitor,general
NT-AI-Engine/TRINITY_INTELLIGENCE_PLATFORM_PROPOSAL.md,email_monitor,general
NT-AI-Engine/TRINITY_EXECUTION_STATUS.md,email_monitor,general
NT-AI-Engine/TRINITY_EXECUTION_COMPLETE.md,email_monitor,general
NT-AI-Engine/TRINITY_COMPREHENSIVE_REPO_ANALYSIS_PROMPT.md,email_monitor,general
NT-AI-Engine/TRINITY_COMPREHENSIVE_EXEC_SUMMARY.md,email_monitor,general
NT-AI-Engine/TRINITY_COMPLETE_PACKAGE_SUMMARY.md,email_monitor,general
NT-AI-Engine/TRINITY_AUTOMATION_ARCHITECTURE_REVIEW.md,email_monitor,architecture
NT-AI-Engine/TEAM4_PLATFORM_ENGINEERING_STRATEGY.md,email_monitor,general
DOCUMENT_GRAPH_QUERIES.md,email_monitor,general
IMPLEMENTATION_METHODOLOGY_CORRECTED.md,email_monitor,general
NEO4J_QUERIES.md,email_monitor,general
OPTIMIZATION_ITEMS_COMPLETE.md,email_monitor,general
NT-AI-Engine/AGENT_19_DELIVERABLES_INDEX.md,email_monitor,general
NT-AI-Engine/AGENT_19_DEPLOYMENT_RESULTS.md,email_monitor,deployment
NT-AI-Engine/AGENT_19_DEPLOYMENT_VALIDATION_GUIDE.md,email_monitor,deployment
NT-AI-Engine/AGENT_21_WORKFLOW_VALIDATION_REPORT.md,email_monitor,general
NT-AI-Engine/AGENT_28_SCALABILITY_PERFORMANCE_ANALYSIS.md,email_monitor,general
NT-AI-Engine/BACKWARD_DEPENDENCY_MAPPING_FLOWS_1-4.md,email_monitor,general
NT-AI-Engine/CODEX_ANALYSIS_PYTHON_PROJECT_STRUCTURES.md,email_monitor,general
NT-AI-Engine/COMPREHENSIVE_STRATEGIC_REVIEW.md,email_monitor,general
NT-AI-Engine/CONTINUOUS_OPERATIONS_ANALYSIS.md,email_monitor,general
NT-AI-Engine/CRITICAL_SCHEMA_ANALYSIS_REPORT.md,email_monitor,general
NT-AI-Engine/INFORMATION_HANDOFF_MAP.md,email_monitor,general
NT-AI-Engine/KNOWLEDGE_GRAPH_READY_FOR_PRESENTATION.md,email_monitor,general
NT-AI-Engine/MASTER_SYSTEM_ARCHITECTURE.md,email_monitor,architecture
NT-AI-Engine/MCP_CAPABILITIES_RESEARCH_COMPLETE.md,email_monitor,general
NT-AI-Engine/MCP_MIGRATION_PERFORMANCE_IMPACT_MODEL.md,email_monitor,general
NT-AI-Engine/MCP_SECURITY_IMPACT_ANALYSIS.md,email_monitor,general
NT-AI-Engine/MICROSOFT365_INTEGRATION_ANALYSIS.md,email_monitor,general
